event_id,date,site,event_datetime_utc,event_datetime_local,treatment,event_interaction,n_dolphins,n_dolphins_in_area,n_dolphins_interacting,dolphin_photoid,n_fishers_nets,n_fishers_line,fishers_number_tags,buzz_occurred,n_buzzes,fisher_success,n_nets_with_fish,n_fish_total,has_drone,event_number_in_drone,hydrophone_track_on_off,camera_photo,photoid_number,observation
20240521_100507_tesoura,2024-05-21,tesoura,2024-05-21T13:05:07Z,2024-05-21T13:05:07Z,cooperative,NA,1,1,1,NA,6,17,2;4,FALSE,0,TRUE,1,6,FALSE,NA,NA,NA,NA,Marcio
20240521_112351_tesoura,2024-05-21,tesoura,2024-05-21T14:23:51Z,2024-05-21T14:23:51Z,cooperative,2,1,4,1,NA,1,15,21,FALSE,0,FALSE,0,0,FALSE,NA,NA,NA,NA,NA
20240521_112445_tesoura,2024-05-21,tesoura,2024-05-21T14:24:45Z,2024-05-21T14:24:45Z,cooperative,2,1,4,1,NA,3,14,NA,FALSE,0,FALSE,0,0,TRUE,off 11:26:33,NA,NA,NA,NA
20240521_112625_tesoura,2024-05-21,tesoura,2024-05-21T14:26:25Z,2024-05-21T14:26:25Z,cooperative,NA,1,4,1,NA,1,15,NA,FALSE,0,FALSE,0,0,FALSE,NA,NA,NA,NA,NA
20240521_112647_tesoura,2024-05-21,tesoura,2024-05-21T14:26:47Z,2024-05-21T14:26:47Z,cooperative,NA,1,4,1,NA,1,15,NA,FALSE,0,FALSE,0,0,FALSE,NA,NA,NA,NA,NA
20240521_112927_tesoura,2024-05-21,tesoura,2024-05-21T14:29:27Z,2024-05-21T14:29:27Z,cooperative,NA,1,4,1,NA,2,15,NA,FALSE,0,FALSE,0,0,FALSE,NA,NA,NA,NA,NA
20240521_114624_tesoura,2024-05-21,tesoura,2024-05-21T14:46:24Z,2024-05-21T14:46:24Z,cooperative,NA,1,3,1,NA,2,8,NA,FALSE,0,TRUE,1,1,FALSE,NA,NA,NA,NA,NA
20240521_114803_tesoura,2024-05-21,tesoura,2024-05-21T14:48:03Z,2024-05-21T14:48:03Z,cooperative,NA,1,3,1,NA,1,11,NA,FALSE,0,FALSE,0,0,FALSE,NA,NA,NA,NA,NA
20240521_114810_tesoura,2024-05-21,tesoura,2024-05-21T14:48:10Z,2024-05-21T14:48:10Z,cooperative,NA,2,3,2,NA,2,11,NA,FALSE,0,FALSE,0,0,FALSE,NA,NA,NA,NA,NA
20240521_114833_tesoura,2024-05-21,tesoura,2024-05-21T14:48:33Z,2024-05-21T14:48:33Z,cooperative,NA,2,3,2,NA,5,11,21;6,FALSE,0,FALSE,0,0,FALSE,NA,NA,NA,NA,NA
20240521_115802_tesoura,2024-05-21,tesoura,2024-05-21T14:58:02Z,2024-05-21T14:58:02Z,cooperative,NA,2,3,2,NA,4,11,89,FALSE,0,FALSE,0,0,FALSE,NA,NA,NA,NA,NA
20240521_115852_tesoura,2024-05-21,tesoura,2024-05-21T14:58:52Z,2024-05-21T14:58:52Z,cooperative,NA,3,3,3,NA,2,11,NA,FALSE,0,FALSE,0,0,FALSE,NA,NA,NA,NA,NA
20240521_115855_tesoura,2024-05-21,tesoura,2024-05-21T14:58:55Z,2024-05-21T14:58:55Z,cooperative,NA,2,3,2,NA,1,11,NA,FALSE,0,FALSE,0,0,FALSE,NA,NA,NA,NA,NA
