date_dmy,sampling_start_final_time_hh_mm,camera_photo,photoid_number,dolphin_photoid,hydrophone_track_on_off,hydro_buzz,sonar_start_final_time_hh_mm,drone_start_final_time_hh_mm,event_interaction,time_event_hh_mm,site,treatment,fishers_number_nets,fishers_number_tags,fishers_number_line,dolphins_number_site,dolphins_number_throw,nets_with_fish,fish_catch_total,observation
21/05/2024,09:49:54-15:27:30,,,,NA,NA,NA,NA,NA,09:49:54,tesoura,FO3,1,23,4,0,0,0,0,
21/05/2024,09:49:54-15:27:30,,,,,,NA,,NA,10:05:07,tesoura,CO,6,2;4,17,1,1,1,6,Marcio
21/05/2024,09:49:54-15:27:30,,,,,,NA,,NA,10:10:42,tesoura,FO2,1,NA,11,1,0,0,0,
21/05/2024,09:49:54-15:27:30,,,,,,NA,,NA,10:14:26,tesoura,FO2,1,NA,8,1,0,0,0,
21/05/2024,09:49:54-15:27:30,,,,,,NA,,NA,10:14:51,tesoura,FO2,1,6,8,1,0,0,0,
21/05/2024,09:49:54-15:27:30,,,,,,NA,,NA,10:20:14,tesoura,FO2,1,21,5,1,0,0,0,
21/05/2024,09:49:54-15:27:30,,,,,,NA,,NA,10:21:32,tesoura,FO2,1,23,7,1,0,0,0,
21/05/2024,09:49:54-15:27:30,,,,,,NA,,NA,10:23:53,tesoura,FO2,1,NA,7,1,0,0,0,
21/05/2024,09:49:54-15:27:30,,,,,,NA,,NA,10:25:27,tesoura,FO2,1,98,7,1,0,0,0,
21/05/2024,09:49:54-15:27:30,,,,,,NA,,1,10:54:35,tesoura,FO2,1,NA,9,3,0,0,0,
21/05/2024,09:49:54-15:27:30,,,,,,NA,,1,10:56:25,tesoura,FO2,1,NA,8,3,0,0,0,
21/05/2024,09:49:54-15:27:30,,,,,,NA,,2,11:23:51,tesoura,CO,1,21,15,4,1,0,0,
21/05/2024,09:49:54-15:27:30,,,,,,NA,off 11:26:33,2,11:24:45,tesoura,CO,3,NA,14,4,1,0,0,
21/05/2024,09:49:54-15:27:30,,,,,,NA,,,11:26:25,tesoura,CO,1,NA,15,4,1,0,0,
21/05/2024,09:49:54-15:27:30,,,,,,NA,,,11:26:47,tesoura,CO,1,NA,15,4,1,0,0,
21/05/2024,09:49:54-15:27:30,,,,,,NA,,,11:29:27,tesoura,CO,2,NA,15,4,1,0,0,
21/05/2024,09:49:54-15:27:30,,,,,,NA,,,11:35:02,tesoura,FO2,1,NA,14,3,0,0,0,
21/05/2024,09:49:54-15:27:30,,,,,,NA,,,11:39:06,tesoura,FO2,2,NA,11,3,0,0,0,
21/05/2024,09:49:54-15:27:30,,,,,,NA,,,11:46:24,tesoura,CO,2,NA,8,3,1,1,1,
21/05/2024,09:49:54-15:27:30,,,,,,NA,,,11:48:03,tesoura,CO,1,NA,11,3,1,0,0,
21/05/2024,09:49:54-15:27:30,,,,,,NA,,,11:48:10,tesoura,CO,2,NA,11,3,2,0,0,
21/05/2024,09:49:54-15:27:30,,,,,,NA,,,11:48:33,tesoura,CO,5,21;6,11,3,2,0,0,
21/05/2024,09:49:54-15:27:30,,,,,,NA,,,11:58:02,tesoura,CO,4,89,11,3,2,0,0,
21/05/2024,09:49:54-15:27:30,,,,,,NA,,,11:58:52,tesoura,CO,2,NA,11,3,3,0,0,
21/05/2024,09:49:54-15:27:30,,,,,,NA,,,11:58:55,tesoura,CO,1,NA,11,3,2,0,0,
21/05/2024,09:49:54-15:27:30,,,,,,NA,,,12:00:06,tesoura,CO,1,NA,13,3,1,0,0,
21/05/2024,09:49:54-15:27:30,,,,,,NA,,,12:00:16,tesoura,CO,1,NA,13,3,1,0,0,
21/05/2024,09:49:54-15:27:30,,,,,,NA,,,12:01:50,quarto,FO2,1,NA,2,3,0,0,0,
21/05/2024,09:49:54-15:27:30,,,,,,NA,,,12:03:13,tesoura,FO2,3,NA,3,3,3,0,0,
21/05/2024,09:49:54-15:27:30,,,,,,NA,,,12:03:28,tesoura,CO,5,89,5,3,3,0,0,
21/05/2024,09:49:54-15:27:30,,,,,,NA,,,12:03:58,tesoura,CO,2,04;2,2,3,3,0,0,
21/05/2024,09:49:54-15:27:30,,,,,,NA,,NA,12:08:41,tesoura,CO,3,2;23;21,14,4,1,0,0,
21/05/2024,09:49:54-15:27:30,,,,,,NA,,3,12:10:48,tesoura,CO,2,NA,14,4,1,0,0,
21/05/2024,09:49:54-15:27:30,,,,,,NA,,3,12:10:53,tesoura,FO1,1,NA,14,4,1,0,0,
21/05/2024,09:49:54-15:27:30,,,,,,NA,,3,12:11:12,tesoura,FO2,1,23,14,4,1,0,0,
21/05/2024,09:49:54-15:27:30,7D_LAG,3884,,,,NA,,3,12:13:03,tesoura,CO,2,NA,14,4,1,0,0,
21/05/2024,09:49:54-15:27:30,7D_LAG,3887,,,,NA,,3,12:13:43,tesoura,CO,3,21,14,4,1,0,0,
21/05/2024,09:49:54-15:27:30,7D_LAG,3896,,,,NA,,3,12:14:41,tesoura,CO,1,NA,12,4,1,0,0,
21/05/2024,09:49:54-15:27:30,7D_LAG,3899,,,,NA,,3,12:15:30,tesoura,CO,1,NA,14,4,1,0,0,
21/05/2024,09:49:54-15:27:30,7D_LAG,3904,,,,NA,,3,12:22:09,tesoura,CO,1,NA,12,4,1,0,0,
21/05/2024,09:49:54-15:27:30,7D_LAG,3919,,,,NA,,4,12:31:14,tesoura,CO,3,NA,16,3,1,0,0,
21/05/2024,09:49:54-15:27:30,7D_LAG,3926,,,,NA,,4,12:32:42,tesoura,CO,1,NA,14,3,1,0,0,
21/05/2024,09:49:54-15:27:30,7D_LAG,3927,,,,NA,,4,12:33:09,tesoura,CO,1,NA,14,3,1,0,0,
21/05/2024,09:49:54-15:27:30,7D_LAG,3928,,,,NA,,4,12:33:26,tesoura,CO,1,NA,14,3,1,0,0,
21/05/2024,09:49:54-15:27:30,,,,,,NA,,4,12:33:30,tesoura,FO2,1,23,14,3,0,0,0,
21/05/2024,09:49:54-15:27:30,,,,,,NA,,NA,12:41:24,tesoura,CO,4,6;2;4;23,14,3,3,0,0,
21/05/2024,09:49:54-15:27:30,,,,,,NA,,NA,12:43:26,tesoura,CO,1,NA,15,3,3,0,0,
21/05/2024,09:49:54-15:27:30,,,,,,NA,,NA,12:48:30,quarto,CO,2,NA,4,2,1,0,0,
21/05/2024,09:49:54-15:27:30,,,,,,NA,,NA,12:50:50,tesoura,CO,1,NA,17,3,1,0,0,
21/05/2024,09:49:54-15:27:30,7D_LAG,3944-46,,,,NA,,5,12:52:42,tesoura,CO,2,89,16,3,1,0,0,
21/05/2024,09:49:54-15:27:30,7D_LAG,3958,,,,NA,,5,12:59:28,tesoura,CO,2,NA,15,4,1,0,0,
21/05/2024,09:49:54-15:27:30,,,,,,NA,,5,13:03:41,tesoura,CO,4,89;4;6;23,12,4,1,0,0,
21/05/2024,09:49:54-15:27:30,,,,,,NA,,NA,13:05:45,quarto,CO,2,14,6,4,1,0,0,
21/05/2024,09:49:54-15:27:30,7D_LAG,3985-87,,,,NA,,6,13:19:15,tesoura,CO,4,4;6;2,14,4,1,0,0,
21/05/2024,09:49:54-15:27:30,7D_TRA,324,,,,NA,,7,13:34:14,tesoura,CO,1,NA,14,3,2,1,1,
21/05/2024,09:49:54-15:27:30,,,,,,NA,,7,13:34:25,tesoura,FO1,1,NA,14,3,1,1,5,
21/05/2024,09:49:54-15:27:30,,,,,,NA,,7,13:35:53,tesoura,CO,2,NA,13,3,1,1,7,
21/05/2024,09:49:54-15:27:30,,,,,,NA,,7,13:36:37,tesoura,CO,2,NA,13,3,1,0,0,
21/05/2024,09:49:54-15:27:30,,,,,,NA,,7,13:36:57,tesoura,CO,2,NA,13,3,1,0,0,
21/05/2024,09:49:54-15:27:30,,,,,,NA,,7,13:37:11,tesoura,CO,1,NA,13,3,1,0,0,
21/05/2024,09:49:54-15:27:30,,,,,,NA,,7,13:39:03,tesoura,CO,1,NA,13,3,1,1,1,
21/05/2024,09:49:54-15:27:30,7D_LAG,4004,,off,off,NA,,7,13:41:30,tesoura,CO,3,89,14,3,1,0,0,
21/05/2024,09:49:54-15:27:30,,,,,,NA,,7,13:42:27,tesoura,CO,2,6;20,14,3,1,0,0,
21/05/2024,09:49:54-15:27:30,,,,,,NA,,7,13:42:54,tesoura,CO,1,NA,17,3,1,0,0,
21/05/2024,09:49:54-15:27:30,7D_LAG,4014,,off,off,NA,,7,13:43:09,tesoura,CO,1,NA,17,3,1,0,0,
21/05/2024,09:49:54-15:27:30,,,,,,NA,,7,13:43:20,tesoura,CO,1,NA,17,3,1,0,0,
21/05/2024,09:49:54-15:27:30,,,,,,NA,,7,13:43:33,tesoura,CO,1,4;2;23,17,3,1,1,57,
21/05/2024,09:49:54-15:27:30,,,,,,NA,,7,13:44:22,tesoura,WN,0,NA,17,3,1,0,0,
21/05/2024,09:49:54-15:27:30,7D_LAG,4017,,off,off,NA,,7,13:44:28,tesoura,FO1,1,NA,17,3,1,0,0,
21/05/2024,09:49:54-15:27:30,,,,,,NA,,7,13:44:36,tesoura,CO,2,23,16,3,1,0,0,
21/05/2024,09:49:54-15:27:30,7D_LAG,4019,,off,off,NA,,7,13:45:22,tesoura,CO,3,NA,16,3,1,1,1,
21/05/2024,09:49:54-15:27:30,,,,,,NA,,7,13:49:08,quarto,CO,2,14,5,2,1,0,0,
21/05/2024,09:49:54-15:27:30,,,,,,NA,,NA,14:01:32,tesoura,CO,4,4,21,2,1,0,0,
21/05/2024,09:49:54-15:27:30,,,,,,NA,,NA,14:18:18,quarto,CO,4,6,8,3,1,0,0,
21/05/2024,09:49:54-15:27:30,,,,,,NA,,NA,14:25:14,quarto,FO2,1,NA,8,3,0,0,0,
21/05/2024,09:49:54-15:27:30,,,,,,NA,,NA,14:25:47,quarto,FO2,2,NA,8,3,0,0,0,
21/05/2024,09:49:54-15:27:30,,,,,,NA,,NA,14:26:09,tesoura,CO,4,NA,19,1,1,0,0,
21/05/2024,09:49:54-15:27:30,,,,,,NA,,NA,14:26:34,tesoura,CO,2,14,19,1,1,0,0,
21/05/2024,09:49:54-15:27:30,,,,,,NA,,NA,14:27:06,tesoura,CO,2,NA,19,1,1,1,2,
21/05/2024,09:49:54-15:27:30,,,,,,NA,,NA,14:28:08,tesoura,CO,2,NA,19,1,1,1,1,
21/05/2024,09:49:54-15:27:30,,,,,,NA,,NA,14:28:51,quarto,CO,2,NA,10,1,1,0,0,
21/05/2024,09:49:54-15:27:30,,,,,,NA,,NA,14:29:23,quarto,FO1,2,NA,10,3,1,0,0,
21/05/2024,09:49:54-15:27:30,,,,on 14:34:20,,NA,,8,14:31:10,tesoura,CO,3,4;23,20,3,1,0,0,
21/05/2024,09:49:54-15:27:30,,,,,,NA,,8,14:34:58,tesoura,CO,2,2;6,19,4,1,0,0,
21/05/2024,09:49:54-15:27:30,,,,#84,,NA,,8,14:35:09,tesoura,FO1,2,14,19,5,1,0,0,
21/05/2024,09:49:54-15:27:30,,,,14:35:00,,NA,,8,14:35:50,tesoura,CO,3,NA,21,5,1,0,0,
21/05/2024,09:49:54-15:27:30,,,,,,NA,,8,14:36:08,tesoura,CO,2,23,21,5,1,0,0,
21/05/2024,09:49:54-15:27:30,7D_LAG,4057,,,,NA,,8,14:36:30,tesoura,CO,1,NA,21,5,1,0,0,
21/05/2024,09:49:54-15:27:30,,,,,,NA,,8,14:36:37,tesoura,CO,3,6,21,5,1,0,0,
21/05/2024,09:49:54-15:27:30,,,,,,NA,,8,14:38:25,tesoura,FO2,1,NA,21,5,1,0,0,
21/05/2024,09:49:54-15:27:30,7D_LAG,4044,,,,NA,,8,14:39:25,tesoura,CO,4,14,21,5,1,1,1,
21/05/2024,09:49:54-15:27:30,,,,,,NA,,8,14:41:35,tesoura,CO,3,14,20,4,1,0,0,
21/05/2024,09:49:54-15:27:30,7D_LAG,4047,,on,on,NA,on,8,14:42:07,tesoura,CO,2,NA,20,4,1,0,0,
21/05/2024,09:49:54-15:27:30,7D_LAG,4048,,,,NA,,8,14:42:30,tesoura,CO,3,4;23,20,4,1,1,1,
21/05/2024,09:49:54-15:27:30,7D_LAG,4050-53,,,,NA,,8,14:43:08,tesoura,CO,2,NA,20,4,1,0,0,
21/05/2024,09:49:54-15:27:30,,,,,,NA,,8,14:43:45,tesoura,CO,3,4;6;20,20,4,1,0,0,
21/05/2024,09:49:54-15:27:30,7D_LAG,4056,,,,NA,,8,14:44:35,tesoura,CO,2,NA,20,4,1,0,0,
21/05/2024,09:49:54-15:27:30,,,,off 14:48:00,off 14:47:50,NA,,8,14:44:56,tesoura,CO,3,23;6,20,4,1,0,0,
21/05/2024,09:49:54-15:27:30,,,,off,off,NA,,NA,14:51:50,quarto,CO,2,NA,20,4,1,2,9,
21/05/2024,09:49:54-15:27:30,,,,,,NA,,NA,14:53:50,tesoura,CO,2,NA,23,4,1,0,0,
21/05/2024,09:49:54-15:27:30,,,,,,NA,,NA,14:54:50,tesoura,FO2,2,NA,23,4,0,0,0,
21/05/2024,09:49:54-15:27:30,,,,,,NA,,NA,14:55:03,quarto,FO1,2,NA,23,4,1,0,0,
21/05/2024,09:49:54-15:27:30,,,,,,NA,,NA,14:55:50,tesoura,CO,3,NA,23,4,1,0,0,
21/05/2024,09:49:54-15:27:30,,,,,,NA,,NA,14:57:42,quarto,CO,3,NA,23,3,1,0,0,
21/05/2024,09:49:54-15:27:30,,,,,,NA,,NA,14:58:21,quarto,CO,2,NA,23,3,1,0,0,
21/05/2024,09:49:54-15:27:30,,,,,,NA,,NA,14:59:39,quarto,CO,2,NA,23,3,1,0,0,
21/05/2024,09:49:54-15:27:30,,,,,,NA,,NA,15:00:48,tesoura,FO2,2,2,24,3,0,0,0,
21/05/2024,09:49:54-15:27:30,,,,,,NA,,NA,15:00:58,tesoura,CO,3,NA,24,3,1,0,0,
